id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2gUSIsapdX6jEJ0DvjqTt2,Naked As We Came,"Iron & Wine, ",0.629,0.367,152627,0.208,0.0584,4,0.106,-16.734,1,0.0363,172.358,4,0.654
4VcCAbIwuMaIFzokHrrebn,Take The Night Off,"Laura Marling, ",0.873,0.299,252227,0.11,0.0303,0,0.117,-17.991,1,0.0428,166.58,3,0.264
2s3cLlYJ45K02djaHIwxUu,1904,"The Tallest Man On Earth, ",0.723,0.51,239733,0.581,0,0,0.0996,-4.141,1,0.0266,104.622,4,0.588
5Szn0p3DlnawyuhX8ULCg4,Orange Sky,"Alexi Murdoch, ",0.797,0.685,379520,0.15,0.0461,2,0.1,-20.543,1,0.039,124.956,4,0.128
7cRpjY0KWGmfZjcePxyGSl,I'd Be Waiting,"Nathaniel Rateliff & The Night Sweats, ",0.796,0.649,220959,0.234,0.00145,4,0.125,-12.739,1,0.0265,96.982,4,0.324
1LAzF3sa7k3QrOKtpCVgLJ,All Yours,"Widowspeak, ",0.0521,0.588,222409,0.507,0.722,7,0.188,-8.15,1,0.0297,128.041,4,0.506
4fpEuKIzTLmMJnYwFU0oqr,Death with Dignity,"Sufjan Stevens, ",0.986,0.51,239508,0.16,0.017,4,0.113,-21.03,1,0.0395,170.063,4,0.398
5rZXBHUU2qz7huEckTwpqo,High Hopes,"Kodaline, ",0.577,0.488,230267,0.487,0,4,0.193,-6.371,1,0.0307,77.344,4,0.235
5R9BaUKPIPBBadJSbB5knl,Dinosaur Sex,"Emmy The Great, ",0.122,0.398,337640,0.197,0.0451,7,0.108,-13.613,1,0.0298,97.937,4,0.124
4GrOV18KKdZnc3jcfvMDgk,Leaf Off / The Cave,"José González, ",0.837,0.46,293880,0.604,0.153,2,0.119,-8.303,1,0.0591,78.54,1,0.65
7GDbkrFBGrCb8ntbQPY3hQ,17,"Youth Lagoon, ",0.844,0.352,236000,0.254,0.58,0,0.108,-8.51,1,0.0473,79.989,4,0.0916
3G9ETaH55bMQx8hwNhAgbU,The Stable Song,"Gregory Alan Isakov, ",0.633,0.625,360933,0.432,0.00242,2,0.127,-11.948,1,0.0283,137.926,4,0.368
4A57CXs3jAmyNTMAwWaV53,Believe,"Mumford & Sons, ",0.035,0.362,220867,0.668,0.0212,2,0.219,-5.975,1,0.0431,113.996,4,0.348
40ttk439NA9RvbLBJpJU1M,Southern Sun,"Boy & Bear, ",0.136,0.538,281101,0.719,0.000394,0,0.187,-5.94,1,0.0348,118.315,4,0.511
30fUMnf2FI00EVTMRhOHhb,Higher Love,"James Vincent McMorrow, ",0.958,0.317,213473,0.162,0.0000463,5,0.111,-14.596,1,0.0608,169.304,4,0.251
7BhZDvzJV21Dd5bY9xvtII,Between the Bars,"Elliott Smith, ",0.937,0.519,141200,0.0774,0.886,7,0.107,-23.593,0,0.0629,135.245,3,0.356
4rzWrb9KT2v71cyuHhcbJY,Where Are You Now,"Mumford & Sons, ",0.662,0.525,219853,0.352,0.00000349,4,0.0872,-10.004,1,0.0426,83.908,4,0.117
3QVmVa40Q82OupvrhhVgPL,Chicago (acoustic version),"Sufjan Stevens, ",0.961,0.583,280773,0.379,0.0125,5,0.144,-11.224,1,0.0284,125.267,4,0.16
5szmwG86IFASvYrca21MEz,Work Song,"Hozier, ",0.74,0.484,229667,0.381,0.0000014,10,0.111,-10.732,1,0.0625,118.567,4,0.28
0GBcfTDD4OjGTGeVVgFl8v,Suffering,"The War On Drugs, ",0.692,0.54,362613,0.333,0.436,0,0.108,-10.738,1,0.0349,137.674,4,0.252
1szpo9PP7E2744kTFNK3HU,Can't You Tell,"Vetiver, ",0.0135,0.57,267040,0.786,0.746,8,0.0851,-7.997,1,0.0323,90.266,4,0.695
7fArBkBSsaUF5mOcpTL56I,Eyes,"Rogue Wave, ",0.821,0.642,148867,0.462,0.00000255,1,0.106,-8.026,1,0.0294,130.018,4,0.482
6kzi5LTg5uECin8pC34nxV,Montezuma,"Fleet Foxes, ",0.854,0.314,217120,0.308,0.0117,0,0.0993,-9.117,1,0.0283,99.214,4,0.0989
6wDKGtbPpF9xPMRv7bswQN,Dead Sea,"The Lumineers, ",0.81,0.713,247933,0.319,0.00000571,0,0.142,-11.099,1,0.028,94.043,4,0.471
2Imlbw05FhPRzWNyS2tokZ,I Was An Eagle,"Laura Marling, ",0.736,0.338,261680,0.317,0.000466,0,0.12,-13.835,1,0.0463,92.413,4,0.478
240ElV9j5kjT14OR8RPMoZ,Cavalier,"James Vincent McMorrow, ",0.904,0.332,283173,0.297,0.000126,11,0.222,-8.244,1,0.0497,85.245,5,0.0396
7is9tMXN65NMBWAVI36ajW,Man On Fire,"Edward Sharpe & The Magnetic Zeros, ",0.779,0.476,259080,0.478,0.117,11,0.103,-11.766,1,0.0395,89.06,4,0.475
4gNErDjikE9QUQvkkqoB1S,Blue Moon,"Beck, ",0.178,0.687,242347,0.651,0.00879,0,0.149,-6.696,1,0.0255,119.937,4,0.505
6qsArsTq6WoqtUFUe1e15W,Airplanes,"Local Natives, ",0.534,0.588,237933,0.529,0.0683,2,0.126,-7.838,1,0.0242,95.971,4,0.594
7C9qM17pJCJi1hiFERWjm6,Terror In The Canyons (The Wounded Master),"Phosphorescent, ",0.799,0.348,245547,0.627,0.0129,3,0.0976,-6.674,1,0.0317,130.089,4,0.385
0wy9UHwhV8o78L3F17WuDF,There Can Be Only One,"Cass McCombs, ",0.374,0.61,257453,0.683,0.21,9,0.247,-13.607,1,0.0347,86.33,4,0.854
4wd09wCccmxUB7XVJp0RNn,"Jesus, etc.","Wilco, ",0.616,0.756,231000,0.28,0.00033,5,0.414,-14.27,1,0.0296,109.413,4,0.678
1KqlVt63Q4bl1VdSlymr5C,Riptide,"Vance Joy, ",0.431,0.484,204280,0.731,0,1,0.151,-6.694,1,0.0379,101.654,4,0.5
5HIfxhZRZp6BPpsz4wCKq9,The Sweetest Thing,"Camera Obscura, ",0.046,0.395,262867,0.823,0.00000938,1,0.234,-4.42,1,0.0404,126.38,4,0.627
0up48KQvGzMCrgqrfT07i2,Ghosts,"Laura Marling, ",0.376,0.463,179960,0.368,0,9,0.149,-11.546,1,0.048,141.974,4,0.746
4UXSYJDEgOlMX3MXVkaiyH,It's Only Life,"The Shins, ",0.0476,0.627,241613,0.623,0.00000109,0,0.149,-6.613,1,0.0267,147.983,4,0.447
23A4WepE6mwaOXFyxWhQpk,Supernova,"Ray LaMontagne, ",0.12,0.581,235427,0.778,0.00272,11,0.0827,-7.186,1,0.03,133.897,4,0.902
7A2eHwcnRqegUGWov2K3P5,Lady On the Water,"Blitzen Trapper, ",0.831,0.462,146480,0.296,0,2,0.135,-14.688,0,0.0343,97.313,4,0.776
7vWSEWnBtWb48R7gJ6qngk,Fighter Girl,"Mason Jennings, ",0.465,0.557,200187,0.647,0.00000193,1,0.123,-6.365,1,0.0295,77.057,4,0.548
0FrCdLSwmmmu3iUxfj2VbZ,Tuck the Darkness In,"Bowerbirds, ",0.689,0.617,290147,0.433,0.254,7,0.117,-9.452,1,0.0288,109.979,4,0.301
37cKyb3sDEt5hRSpBdsrns,Swing Lo Magellan,"Dirty Projectors, ",0.825,0.738,157800,0.366,0.0000269,5,0.118,-10.231,0,0.0324,101.031,4,0.504
19n9s9SfnLtwPEODqk8KCT,Live And Die,"The Avett Brothers, ",0.113,0.591,271187,0.746,0,11,0.151,-5.054,1,0.0285,117.807,4,0.611
15uTxjdvNnV6U5u5L4vpnM,Mightiest of Guns,"A.A. Bondy, ",0.879,0.236,227280,0.16,0.0265,0,0.194,-16.868,1,0.035,169.025,4,0.122
